barcode,desc_corta,nombre,lote,stock_inicial,cantidad_sistema,costo,caducidad,almacen,cantidad_fisica
7502009744853,Versalver,Versalver (Valsartán) 160 mg 14 ,231649,5,1,71.77,2025-02-28,ALLY-Farmacia,
7502009740503,Clamoxin 12H JR 50ml,"Clamoxin 12H JR 50ml (Amoxicilina,Ácido Clavulánico) 400 mg/57 mg 1 Suspensión",230829,10,9,35.19,2025-02-28,ALLY-Farmacia,
7502009745140,Clamoxin S 50ml,"Clamoxin S 50ml (Ácido Clavulánico,Amoxicilina) 42.9 mg/600 mg 1 Suspensión",231257,10,10,45.51,2025-02-28,ALLY-Farmacia,
7501349026230,Amoxicilina A.C,"Amoxicilina A.C (Amoxicilina,Ácido clavulánico) 875 mg/125 mg 10 Tab",Q0223179,17,17,49.03,2025-02-28,ALLY-Farmacia,
7502227426708,Cartipac,Cartipac (Glucosamina) 500 mg 30 Cap,230350,1,1,30.52,2025-02-28,ALLY-Farmacia,
7501101600524,Acciogen,"Acciogen   (Ibuprofeno, Paracetamol ) 100 mg/125 mg  1 Suspensión",23B031V1,1,1,157.48,2025-02-28,ALLY-Farmacia,
7502227876213,Braix,Braix   (Donepezilo ) 10 mg  28 Tableta,RB015,1,1,249.14,2025-02-28,ALLY-Farmacia,
7502009740763,Clamoxin 12H,"Clamoxin 12H (Ácido Clavulánico,Amoxicilina) 125 mg/875 mg 10 Tab",231465,27,23,66.0,2025-02-28,ALLY-Farmacia,
7502227876213,Braix,Braix   (Donepezilo ) 10 mg  28 Tableta,RB015,1,1,249.14,2025-02-28,ALLY-Farmacia,
7502009740213,Clamoxin 60ml,"Clamoxin 60ml (Ácido Clavulánico,Amoxicilina) 62.5 mg/250 mg 1 Suspensión",231359,25,25,39.27,2025-02-28,ALLY-Farmacia,
7502211780359,Aflusil 120 ml,Aflusil 120 ml (Ibuprofeno) 2 g 1 Suspensión,R2302829,60,19,16.99,2025-02-28,ALLY-Farmacia,
8902220115866,Citalopram,Citalopram   (Citalopram ) 20 mg  14 Tableta,BA03K001,2,2,27.61,2025-02-28,ALLY-Farmacia,
7501314705832,Gantena,Gantena   (Rosuvastatina ) 20 mg  30 Tableta,S3C647,2,1,702.72,2025-03-30,ALLY-Farmacia,
7501299307915,Sensibit D Nf Pediátrico 120 ml,"Sensibit D Nf Pediátrico 120 ml (Fenilefrina,Loratadina,Paracetamol) 33.33 mg/16.66 mg/3.2 g 1 Solución",D03147,1,1,78.72,2025-03-31,ALLY-Farmacia,
7502227875506,Ontronon Masticables,Ontronon Masticables (Montelukast) 5 mg 20 Tab,RNT102,2,2,34.39,2025-03-31,ALLY-Farmacia,
7501124819552,Xolair,Xolair (Omalizumab) 150 mg 1 Solución inyectable,AVXS277105,14,2,8300.0,2025-03-31,ALLY-Farmacia,
7501075718157,Novaride,Novaride (Finasterida) 5 mg 30 Grageas,580063,3,1,51.25,2025-03-31,ALLY-Farmacia,
7501871720668,Tafirol AC,"Tafirol AC   (Paracetamol, Diclofenaco ) 500 mg/50 mg  15 Tableta",94589,6,1,317.14,2025-03-31,ALLY-Farmacia,
7502216790339,HL-Ysta,HL-Ysta (Loratadina) 10 mg 10 Tab,3CN469A,2,1,10.32,2025-03-31,ALLY-Farmacia,
7502216809147,Esomeprazol,Esomeprazol (Esomeprazol) 40 mg 28 Tab,3CM037B,1,1,282.06,2025-03-31,ALLY-Farmacia,
7501124819552,Xolair,Xolair (Omalizumab) 150 mg 1 Solución inyectable,AVXS277105,10,4,8300.0,2025-03-31,ALLY-Farmacia,
780083148423,Hudiclor,Hudiclor 30 g (Terbinafina ) 1 %  1 Crema,23140770,3,1,24.44,2025-03-31,ALLY-Farmacia,
7501573900177,Brax,"Brax   (Paracetamol, Naproxeno ) 300 mg/275 mg  10 Tableta",SD2308,4,5,11.94,2025-04-30,ALLY-Farmacia,
7503008344716,La Femme,La Femme   (Multivitaminas y Minerales ) 1.925 mg  30 Capsula,R249,1,1,79.73,2025-04-30,ALLY-Farmacia,
7501895110100,Vaxigrip Tetra (Vacuna Antiinfluenza tetravalente tipos A y B) 15mcg X 4,Vaxigrip Tetra (Vacuna Antiinfluenza tetravalente tipos A y B) 15mcg X 4 0.5 ml ()  1 Suspensión,Y3D223V,2,2,410.0,2025-04-30,ALLY-Farmacia,
7501326007337,Gardasil,Gardasil   (Vacuna Contra El Virus Del Papiloma Humano ) 0.5 ml  1 Jeringa,W037695,4,2,2330.0,2025-04-30,ALLY-Farmacia,
7501043100717,Nucala,Nucala   (Mepolizumab ) 100 mg  1 Solución,H96A,3,3,25000.0,2025-04-30,ALLY-Farmacia,
7502245840074,Draxavin,Draxavin (Hidralazina) 20 mg 5 Solucion inyectable,HI23D01,2,1,268.4,2025-04-30,ALLY-Farmacia,
7502227420218,Retigel,"Retigel ( Retinol.,Vitamina A) 50 mg/50 mg 40 Cap",230722,6,6,30.08,2025-04-30,ALLY-Farmacia,
7501109901623,Risperdal,Risperdal   (Risperidona ) 3 mg  20 Tableta,AU3942,2,1,2181.09,2025-04-30,ALLY-Farmacia,
300090017125,Halcion 0.250 Mg ,Halcion 0.250 Mg  (Triazolam) 0.250 mg 30 Tab,HP1691,1,1,1182.26,2025-04-30,ALLY-Farmacia,
7501125153488,Mazda ,Mazda  (Venlafaxina) 150 mg 10 Cap,U23A390,3,3,517.53,2025-04-30,ALLY-Farmacia,
7501895110100,Vaxigrip Tetra (Vacuna Antiinfluenza tetravalente tipos A y B) 15mcg X 4,Vaxigrip Tetra (Vacuna Antiinfluenza tetravalente tipos A y B) 15mcg X 4 0.5 ml ()  1 Suspensión,Y3D223V,3,1,410.0,2025-04-30,ALLY-Farmacia,
7506442702067,Intici,Intici   (Imatinib ) 400 mg  30 Tableta,IMB323605B,4,4,18500.0,2025-05-10,ALLY-Farmacia,
656599041315,Ansof,Ansof (Sulfato Ferroso) 200 mg 30 Tab,SL22MR02,11,8,21.02,2025-05-30,ALLY-Farmacia,
7501478315793,Periosan,Periosan (Doxiciclina) 100 mg 10 Cap,EM2305140,6,6,25.2,2025-05-31,ALLY-Farmacia,
7501349012370,Solural Ped 300 ml Uva,Solural Ped 300 ml Uva   1 Solucion,H23Y442,1,1,12.73,2025-05-31,ALLY-Farmacia,
7502226292182,Bioerter Susp.,Bioerter Susp.   (Eritromicina ) 250 mg  1 Suspensión,0523211,2,2,45.35,2025-05-31,ALLY-Farmacia,
7502227875377,Tromdex,Tromdex   (Ezetimiba ) 10 mg  28 Tableta,RTR065,149,87,77.79,2025-05-31,ALLY-Farmacia,
821998000250,Cloropiramina,Cloropiramina (Cloropiramina) 25 mg 20 Tab,116053,2,1,35.5,2025-05-31,ALLY-Farmacia,
5000456066969,Synagis,Synagis 1 ml (Palivizumab ) 100 mg  1 Solución,392734,1,1,14500.0,2025-05-31,ALLY-Farmacia,
7501287609632,Ibrance-21,Ibrance-21   (Palbociclib ) 125 mg  21 Capsula,FM1966,1,1,42000.0,2025-05-31,ALLY-Farmacia,
7501590288432,Gozana Sabor Manzana ,Gozana Sabor Manzana     60 Gomitas,23M50648,1,1,56.95,2025-05-31,ALLY-Farmacia,
7502227871317,Arramplor,Arramplor (Alopurinol) 300 mg 20 Tab,RRR346,2,1,33.55,2025-05-31,ALLY-Farmacia,
7502009744938,Blusyver-Pro,Blusyver-Pro   (Escitalopram ) 10 mg  14 Tableta,233928,2,2,51.42,2025-05-31,ALLY-Farmacia,
736085400571,Trazil,Trazil 15 ml (Tobramicina ) 3 mg  1 Solución,4026974,1,1,336.66,2025-06-03,ALLY-Farmacia,
7501032925369,Desinfectante Family Guard 55 ml,Desinfectante Family Guard 55 ml 55 ml  1 Spray,2159021,6,3,27.78,2025-06-08,ALLY-Farmacia,
7501050600286,Diprosone 30g,"Diprosone 30g (Betametasona,Gentamicina) 50 mg/100 mg 1 Crema",W019538,2,2,272.01,2025-06-10,ALLY-Farmacia,
7502227879597,Tervutan,Tervutan   (Oxitetraciclina ) 500 mg  16 Capsula,RTV003,3,1,9.43,2025-06-30,ALLY-Farmacia,
7501050699990,Celestamine NS ,"Celestamine NS  60 ml (Loratadina, Betametasona ) 100 mg/5 mg  1 Solución",864610,2,1,355.0,2025-06-30,ALLY-Farmacia,
7501825300946,Espabion,Espabion (Trimebutina) 200 mg 40 Tab,066A,400,342,93.87,2025-06-30,ALLY-Farmacia,
7501318649071,Baycuten,"Baycuten (Clotrimazol,Dexametasona) 1 g/30 g 1 Crema",XB30S60A,1,1,234.18,2025-06-30,ALLY-Farmacia,
7501082242584,Humulin N NPH,Humulin N NPH   (Insulina Humana ) 100 UI  1 Plumas Precargadas,D525849D,1,1,305.6,2025-06-30,ALLY-Farmacia,
759684313257,Mertodol Blanco Jaloma,Mertodol Blanco Jaloma 40 ml ()  1 Solución,L062025,20,19,22.713,2025-06-30,ALLY-Farmacia,
7509546075136,Palmolive clasico,Palmolive clasico 100 g  1 Jabón,3153MX1112,10,5,8.13,2025-06-30,ALLY-Farmacia,
7501165001718,Allegra,Allegra   (Fexofenadina ) 120 mg  10 Tableta,DMXA008,9,1,345.17,2025-06-30,ALLY-Farmacia,
7350012552787,BioGaia HP 700 mg Sabor Mandarina,BioGaia HP 700 mg Sabor Mandarina   ()  20 Tableta,23TSA137,1,1,443.27,2025-06-30,ALLY-Farmacia,
5056227208250,Inderalici,Inderalici   (Propranolol ) 10 mg  50 Tableta,80409,2,1,129.84,2025-06-30,ALLY-Farmacia,
7501349025424,Telmisartán,Telmisartán   (Telmisartán ) 40 mg  14 Tableta,U23J344,2,2,42.0,2025-06-30,ALLY-Farmacia,
7502227871065,Fermig,Fermig   (Sumatriptán ) 50 mg  2 Tableta,RFR195,6,4,43.38,2025-06-30,ALLY-Farmacia,
7503002773215,Ficsatol,Ficsatol   (Tolterodina ) 2 mg  14 Tableta,3F413,186,2,10.71,2025-06-30,ALLY-Farmacia,
5056227208274,Tenormin,Tenormin   (Atenolol ) 50 mg  28 Tableta,80414,2,1,330.0,2025-06-30,ALLY-Farmacia,
7501070646974,Eturion,Eturion   (Atorvastatina ) 10 mg  30 Tableta,HR4301,2,1,262.75,2025-07-30,ALLY-Farmacia,
7501124103118,Lacteol-Forte,Lacteol-Forte   ( Lactobacilos ) 340 mg  6 Sobres,227052,1,1,297.43,2025-07-31,ALLY-Farmacia,
7502213141516,Novefazol,Novefazol 15 g (Poliestireno Sulfonato Cálcico ) 15 g  16 Suspensión,305510A,1,1,1089.0,2025-07-31,ALLY-Farmacia,
7501384544164,Selective Duo,Selective Duo   (Escitalopram ) 10 mg  28 Tableta,0723085,2,1,979.23,2025-07-31,ALLY-Farmacia,
7502253602312,Advantax,Advantax   (Multivitaminas y Minerales ) 8.8 g  10 Sobres,AXG23157,3,2,65.4472,2025-07-31,ALLY-Farmacia,
7501384546830,Betahistina,Betahistina (Betahistina) 16 mg 20 Tab,8930723,50,50,97.19,2025-07-31,ALLY-Farmacia,
7501075721157,Belanovag,Belanovag (Venlafaxina) 75 mg 20 Cap,A80293,4,4,41.27,2025-07-31,ALLY-Farmacia,
7501409201119,Remeron Soltab,Remeron Soltab   (Mirtazapina ) 15 mg  12 Tableta,10000310,3,2,898.49,2025-08-01,ALLY-Farmacia,
7501050600873,Aviant,Aviant   ( Desloratadina ) 5 mg  30 Tableta,X001183,2,2,802.08,2025-08-05,ALLY-Farmacia,
7501326008402,Vytorin,"Vytorin (Ezetimiba-Simvastatina,Simvastatina) 10 mg/20 mg 28 Tab",x025326,2,1,1495.23,2025-08-08,ALLY-Farmacia,
7502009740992,Clamoxin,"Clamoxin (Ácido Clavulánico,Amoxicilina) 125 mg/500 mg 10 Tab",230797,10,10,45.51,2025-08-20,ALLY-Farmacia,
7501277071685,Prochor,Prochor (Propranolol) 40 mg 30 Tab,1711G23,2,2,19.16,2025-08-30,ALLY-Farmacia,
7501384549466,Prazosina,Prazosina   (Prazosina ) 1 mg  30 Capsula,0823357,13,13,119.38,2025-08-30,ALLY-Farmacia,
7503008344891,Gelcupro,Gelcupro   (Isotretinoina ) 20 mg  30 Capsula,R609,3,1,711.26,2025-08-31,ALLY-Farmacia,
3499320001618,Desowen Loción 0.05%,Desowen Loción 0.05% 60 ml (Budesonida ) 0.05 %  1 Loción,3068244,2,2,369.49,2025-08-31,ALLY-Farmacia,
7501048640348,Cinta Adhesiva Microporosa 2.5cmX10m (Protec) Caja 12 pzas,Cinta Adhesiva Microporosa 2.5cmX10m (Protec) Caja 12 pzas   ()  12 Cinta adhesiva,64HCF2023,2,1,80.98,2025-08-31,ALLY-Farmacia,
7502216796782,Estrogenos Conjugados Aplicado,Estrogenos Conjugados Aplicado (Estrógenos Conjugados) 62.5 mg 1 Crema,3HH572A,1,1,232.83,2025-08-31,ALLY-Farmacia,
650240036354,Genoprazol,Genoprazol   (Omeprazol ) 20 mg  7 Capsula,G23040A,2,2,37.41,2025-08-31,ALLY-Farmacia,
7501349013223,Deflazacort,Deflazacort (Deflazacort) 30 mg 10 Tab,U23G460,4,2,106.85,2025-08-31,ALLY-Farmacia,
7713042299914,Acufe-No PM,"Acufe-No PM   (Pasiflora, Valeriana ) 10 mg/35 mg  30 Capsula",23H421,16,8,250.0,2025-08-31,ALLY-Farmacia,
7501563381726,Bionokaltran,Bionokaltran   (Calcio ) 500 mg  12 Comprimido,10269,9,4,37.89,2025-08-31,ALLY-Farmacia,
7501072340092,Flagyl,Flagyl   (Metronidazol ) 500 mg  30 Comprimido,DMXA012,1,1,213.16,2025-08-31,ALLY-Farmacia,
7502253602350,Fotosun UV 100 Protector Solar en Polvo,Fotosun UV 100 Protector Solar en Polvo   ()  1 Otros,23H10F,2,1,206.02,2025-08-31,ALLY-Farmacia,
7501258205092,Fortical,"Fortical   (Diclofenaco, Vitamina B, Piridoxina, Cianocobalamina ) 50 mg/50 mg/50 mg/0.25 mg  30 Tableta",231276,1,1,57.33,2025-08-31,ALLY-Farmacia,
7501314705832,Gantena,Gantena   (Rosuvastatina ) 20 mg  30 Tableta,S31390,1,1,684.35,2025-09-30,ALLY-Farmacia,
7501277028696,Bisoprolol5 mg,Bisoprolol5 mg   30 Tab,2771L23,45,2,90.4,2025-09-30,ALLY-Farmacia,
7500462933746,Inha Rub,Inha Rub 40 g  1 Ungüento,222238,3,1,14.86,2025-09-30,ALLY-Farmacia,
7502227871515,Aniup,Aniup (Fluoxetina) 20 mg 28 Tab,RNP089,5,3,23.69,2025-09-30,ALLY-Farmacia,
7501124723170,Dilarmine ,"Dilarmine  (Betametasona,Clorfenamina) 1 mg/2 mg 25 Tab",230435,1,1,510.0,2025-09-30,ALLY-Farmacia,
7501008499023,Redoxon AOX,"Redoxon AOX   (Acido Ascorbico, Colecalciferol ,  Zinc ) 1000 mg/400 UI/10 mg  10 Tableta",ARIVL3,1,1,121.0,2025-09-30,ALLY-Farmacia,
7501563383102,Biolactona,Biolactona   (Espironolactona ) 25 mg  20 Tableta,10502,3,3,24.2,2025-09-30,ALLY-Farmacia,
20800753067,Pepto-Bismol Sab. Original 118ml,Pepto-Bismol Sab. Original 118ml (subsalicilato de bismuto) 1.75 mg 1 Suspensión,3336171952,2,2,80.85,2025-09-30,ALLY-Farmacia,
7503007704573,Hidrasec,Hidrasec   (Racecadotrilo ) 10 mg  18 Granulado,T010,4,3,213.41,2025-09-30,ALLY-Farmacia,
7501044210095,Repelente Fly Out Stickers Baby ,Repelente Fly Out Stickers Baby    6 Parche,JB09I22,12,8,49.82,2025-09-30,ALLY-Farmacia,
7502223112353,Quimistren,"Quimistren (Hierro,Acido Fólico) 100 mg/800 mg 30 Tab",23HU70,30,1,93.63,2025-09-30,ALLY-Farmacia,
7501299309407,Oseltamivir,Oseltamivir 60 ml (Oseltamivir ) 6 mg  1 Suspensión,H09066,37,11,280.0,2025-09-30,ALLY-Farmacia,
7502009744570,Sinfonil,Sinfonil (Oxcarbazepina) 300 mg 20 Tab,227785,2,2,57.2,2025-10-30,ALLY-Farmacia,
7501299302507,Inhibitron,Inhibitron   (Omeprazol ) 20 mg  14 Capsula,H10441,2,1,254.69,2025-10-30,ALLY-Farmacia,
7501493980440,Viclovir,Viclovir   (Aciclovir ) 250 mg  5 Solución inyectable,AC00723,22,4,427.0,2025-10-31,ALLY-Farmacia,
714908105483,"Salufila 500 ml Clorofila,Hierbabuena,Menta","Salufila 500 ml Clorofila,Hierbabuena,Menta   1 Solución",22541168,1,1,64.44,2025-10-31,ALLY-Farmacia,
7502009746710,Monaxyl,Monaxyl   (Piridostigmina Bromuro ) 60 mg  20 Tableta,237227,2,2,48.53,2025-10-31,ALLY-Farmacia,
7502009744839,Versalver,Versalver (Valsartán) 80 mg 30 Comprimido,237118,3,1,82.67,2025-10-31,ALLY-Farmacia,
7501070903800,Libertrim,Libertrim   (Trimebutina ) 200 mg  24 Comprimido,S2311491,1,1,504.86,2025-10-31,ALLY-Farmacia,
7501314704231,Festomar,"Festomar (Doxilamina,Piridoxina) 10 mg/10 mg 30 Tab",S4A820,1,1,322.68,2025-10-31,ALLY-Farmacia,
7501349029736,"Telmisartán,Hidroclorotiazida","Telmisartán,Hidroclorotiazida (Telmisartán,Hidroclorotiazida) 80 mg/12.5 mg 28 Tab",U23T341,2,1,116.56,2025-10-31,ALLY-Farmacia,
7502216805118,Topiramato,Topiramato (Topiramato) 25 mg 20 Tab,3KM415C,2,2,27.78,2025-10-31,ALLY-Farmacia,
17501052713226,Ketosteril,Ketosteril   (Alfa Cetoanálogos De Aminoácidos ) 630 mg  100 Tableta,18Y4024,2,2,896.0,2025-10-31,ALLY-Farmacia,
7501287670991,Lyrica,Lyrica (Pregabalina) 50 mg 28 Cap,HR8259,2,1,787.16,2025-10-31,ALLY-Farmacia,
7501089803047,Isorbid AP,Isorbid AP   (Dinitrato De Isosorbida ) 20 mg  40 Capsula,24050174,1,1,585.67,2025-10-31,ALLY-Farmacia,
7501123014613,Firac,Firac (Clonixinato De Lisina) 125 mg 10 Tab,417282,1,1,0.01,2025-10-31,ALLY-Farmacia,
7502216807419,Hioscina,Hioscina (Butilhioscina O Hioscina) 10 mg 10 Tab,3KN291A,1,1,20.59,2025-10-31,ALLY-Farmacia,
7502009748288,Colágeno Spray facial,Colágeno Spray facial   (Colágeno ) 60 ml  1 Spray,3332292,1,1,22.89,2025-11-30,ALLY-Farmacia,
7501109930135,Haldol,Haldol 30 ml (Haloperidol ) 200 mg  2 Solución,AU9459,1,1,607.49,2025-11-30,ALLY-Farmacia,
7501109930135,Haldol,Haldol 30 ml (Haloperidol ) 200 mg  2 Solución,AU9459,1,1,607.49,2025-11-30,ALLY-Farmacia,
7501277030620,"Acido Alendronico,Colecalciferol ","Acido Alendronico,Colecalciferol  (Acido Alendronico,Colecalciferol ) 70 mg/5600 UI 4 Tab",TZ4307,3,1,229.74,2025-11-30,ALLY-Farmacia,
7502216803879,Diclo-Complejo B,"Diclo-Complejo B (Complejo B,Diclofenaco) 100 mg/50 mg 30 Tab",3LM451A,20,2,30.0,2025-11-30,ALLY-Farmacia,
7502209850361,Meloxicam,Meloxicam   (Meloxicam ) 15 mg  14 Tableta,SK23419,2,2,14.08,2025-11-30,ALLY-Farmacia,
7502223112353,Quimistren,"Quimistren (Hierro,Acido Fólico) 100 mg/800 mg 30 Tab",23KY06,60,60,89.97,2025-11-30,ALLY-Farmacia,
7503007704573,Hidrasec,Hidrasec   (Racecadotrilo ) 10 mg  18 Granulado,T012,2,2,213.41,2025-11-30,ALLY-Farmacia,
7501037946239,Micardis Plus ,"Micardis Plus    (Telmisartán, Irbesartán-Hidroclorotiazida ) 80 mg/25 mg  14 Tableta",24C1101,1,1,1007.0,2025-11-30,ALLY-Farmacia,
7503029005894,Calcio Max,"Calcio Max (Calcio,Vitamina D) 600 mg/400 UI 30 Tab",111122,160,159,50.48,2025-11-30,ALLY-Farmacia,
7500462933722,Óxido de Zinc Pomada Suavizante (ADN),Óxido de Zinc Pomada Suavizante (ADN) 30 g  1 Pomada,E220630L18,15,9,9.22,2025-11-30,ALLY-Farmacia,
7501493871540,Veraken 2ml IV,Veraken 2ml IV (Verapamilo) 5 mg 1 Solución inyectable,VP00223,25,7,164.52,2025-12-02,ALLY-Farmacia,
8054083019154,RimVoq,RimVoq   (Upadacitinib ) 15 mg  28 Tableta,1249370,2,2,12950.0,2025-12-14,ALLY-Farmacia,
7501072350299,Clexane,Clexane 0.6 ml (Enoxaparina Sódica ) 60 mg  2 Solución,JS014C,5,4,900.0,2025-12-14,ALLY-Farmacia,
7501065085832,Voltaren Emulgel,Voltaren Emulgel   (Diclofenaco ) 1.16 %  1 Emulgel,VJ7K,2,1,178.59,2025-12-31,ALLY-Farmacia,
7502216935211,Movitrem,"Movitrem   (Emtricitabina, Tenofovir Disoproxil Fumarato O Tenofovir ) 200 mg/245 mg  30 Tableta",115692,1,1,1880.0,2025-12-31,ALLY-Farmacia,
7891317019679,Edarbi CLD,"Edarbi CLD (Azilsartán,Clortalidona) 40 mg/12.5 mg 28 Tab",12742454,7,7,937.44,2025-12-31,ALLY-Farmacia,
7501342801148,Prednisona,Prednisona (Prednisona) 5 mg 20 Tab,23028003,1,1,11.63,2025-12-31,ALLY-Farmacia,
7502226293790,Telmisartán,Telmisartán   (Telmisartán ) 40 mg  14 Tableta,2312687,2,2,30.12,2025-12-31,ALLY-Farmacia,
7891317019679,Edarbi CLD,"Edarbi CLD (Azilsartán,Clortalidona) 40 mg/12.5 mg 28 Tab",12742454,7,5,937.44,2025-12-31,ALLY-Farmacia,
7501072350299,Clexane,Clexane 0.6 ml (Enoxaparina Sódica ) 60 mg  2 Solución,JS014C,20,15,900.0,2025-12-31,ALLY-Farmacia,
7501072350220,Clexane,Clexane 0.4 ml (Enoxaparina Sódica ) 40 mg  2 Solución,JS015C,310,1,369.5,2025-12-31,ALLY-Farmacia,
7501065028785,Mejoral ,Mejoral    (Paracetamol ) 500 mg  12 Tableta,3d6v,3,1,25.61,2025-12-31,ALLY-Farmacia,
